timestamp_ns,phase_sin,phase_cos,cycle_time,smoothed_speed,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787645121987106164,0.176232,0.984349,0.354667,0.008,0.4,-0,-6.5188e-05,0.039871,-0.0217808,0.515892,0.00332541,-0.000940506,0.000217293,-0.0553881,0.400855,0.00306892,-0.0732574,0.372306,0.400788,nan,nan,0,-0.595794,0.0395966,0.00306892,3.49207,-0.247897,0.0389269,nan,nan,0,-0.233167,-0.305746,0.0153437,-1.05006,-0.426583,-0.306028,nan,nan,0,-0.110941,0.518206,-0.00306892,-8.22955,0.434529,0.518011,nan,nan,0,-0.228462,-0.207888,0.00383759,-1.52302,-0.324231,nan,-4.07778,-0.00949902,1,0.534975,-0.00253579,-0.00314565,0.143052,0.267487,nan,8.10542,0.0188812,1,-0.287101,-0.397978,0.00306892,-0.561661,-0.543551,-0.398317,nan,nan,0,-0.215445,-0.0511017,0.00306892,0.317459,-0.157723,-0.0513501,nan,nan,0,-0.278114,0.305171,0.00306892,1.53846,0.170943,0.304858,nan,nan,0,0.0309768,0.523767,-0.00920582,-10.2808,0.505488,0.523724,nan,nan,0,-0.0140786,-0.20996,2.07942e-07,0.0771472,-0.217039,nan,-0.247778,-0.000577189,1,0.140308,0.00820218,-0.00314882,-5.21228,0.0701542,nan,1.86328,0.00434045,1,0,0.966611,0.022051,-0.005443,0.255239,0.00332541,-0.000940506,0.000217293,0.027437,0.078468,9.7569
1787645121996368057,0.342714,0.93944,0.35924,0.01584,0.4,-0,-6.5188e-05,0.0398833,-0.0217886,0.515912,0.00232776,-0.000864671,0.00269788,-0.149008,0.400855,0.00306892,-0.268623,0.325496,0.391406,nan,nan,0,-1.03881,0.0395966,0.00306892,1.5873,-0.469403,-0.0549707,nan,nan,0,-0.482082,-0.305746,0.00920582,-0.65934,-0.551041,-0.345567,nan,nan,0,-0.136091,0.518206,0.0214815,-3.10134,0.421955,0.490803,nan,nan,0,-0.30614,-0.207888,0.00191807,-0.820076,-0.36307,nan,-5.43427,-1.33591,1,0.661472,-0.00253579,-0.00629367,0.047722,0.330736,nan,10.0076,2.65574,1,-0.432709,-0.397978,-0.00306892,-0.268623,-0.616355,-0.445771,nan,nan,0,-0.335975,-0.0511017,0.00920582,-0.122101,-0.217988,-0.0861223,nan,nan,0,-0.260087,0.305171,-0.0153437,0.805862,0.179957,0.26128,nan,nan,0,0.202178,0.523767,0.00920582,-4.17583,0.591089,0.517986,nan,nan,0,0.0189336,-0.209959,-0.0134426,-0.312545,-0.200533,nan,0.350082,-0.0796389,1,0.160244,0.00859552,0.0629743,-1.64225,0.080122,nan,2.05133,0.609056,1,0,0.966608,0.022058,-0.005445,0.255249,0.00232776,-0.000864671,0.00269788,0.035165,0.059394,9.75401
1787645122006446012,0.495353,0.868692,0.363722,0.0235232,0.4,-0,-6.5188e-05,0.0398733,-0.0217946,0.515926,0.00128936,0.00105558,0.00199646,-0.15292,0.400855,0.00306892,-0.366302,0.32354,0.364458,nan,nan,0,-1.48261,0.0394049,-0.0276184,-1.73382,-0.691303,-0.245655,nan,nan,0,-0.720827,-0.305554,0.0153437,-1.44078,-0.670414,-0.43596,nan,nan,0,-0.162573,0.518973,0.107406,-4.81075,0.408713,0.452279,nan,nan,0,-0.418907,-0.207888,0.0192035,-1.79715,-0.419453,nan,-7.43361,-3.46223,1,0.832448,-0.00174944,0.103864,2.45278,0.416224,nan,12.3834,6.60295,1,-0.611535,-0.397978,0.00306892,-1.44078,-0.705767,-0.529487,nan,nan,0,-0.287568,-0.0511017,0.00306892,-1.00122,-0.193784,-0.149484,nan,nan,0,-0.10857,0.304404,-0.101268,-0.610504,0.255715,0.209189,nan,nan,0,0.399429,0.524917,0.14423,-3.68742,0.689715,0.538504,nan,nan,0,0.00438584,-0.209947,-0.0268849,0.117104,-0.207807,nan,0.11524,0.0133925,1,0.155421,0.0141042,0.721029,-0.285605,0.0777104,nan,0.826644,1.31169,1,0,0.966606,0.022054,-0.005449,0.255256,0.00128936,0.00105558,0.00199646,0.029279,0.10621,9.76655
1787645122016488933,0.630924,0.775845,0.368114,0.0310527,0.4,-0,-6.5188e-05,0.0399532,-0.0216634,0.515959,0.0221239,0.0109641,0.00384255,-0.122931,0.400855,0.00306892,-0.805862,0.338535,0.338064,nan,nan,0,-1.79658,0.0384459,-0.125817,-9.69475,-0.84829,-0.47509,nan,nan,0,-0.879751,-0.306705,-0.217878,-3.7851,-0.749876,-0.553799,nan,nan,0,-0.207346,0.519932,0.107406,-7.93651,0.386327,0.423572,nan,nan,0,-0.489269,-0.207882,0.0078174,-3.24371,-0.454635,nan,-8.64807,-5.59788,1,0.959646,0.00434684,0.827715,5.4771,0.479823,nan,13.0227,9.89159,1,-0.786282,-0.39817,-0.0153437,-2.71062,-0.793141,-0.622043,nan,nan,0,-0.145504,-0.0514851,-0.0398932,-2.3199,-0.122752,-0.190681,nan,nan,0,0.0359124,0.302295,-0.266977,-1.8315,0.327956,0.206899,nan,nan,0,0.60608,0.527218,0.230153,-2.95483,0.79304,0.601789,nan,nan,0,-0.0245965,-0.211973,-0.057549,-0.0781611,-0.222298,nan,-0.275069,0.123617,1,0.0998198,0.0199751,1.01109,0.689943,0.0499099,nan,-0.618592,1.22875,1,0,0.966602,0.022076,-0.005375,0.255271,0.0221239,0.0109641,0.00384255,-0.2229,0.200894,9.10046
1787645122026688672,0.747018,0.664804,0.372418,0.0384317,0.4,-0,-6.5188e-05,0.0404491,-0.0215633,0.515989,0.0578589,-0.0203449,0.0120814,-0.0526616,0.400855,0.00306892,-1.5873,0.373669,0.329431,nan,nan,0,-2.15606,0.0357614,-0.365176,-15.2137,-1.02803,-0.689168,nan,nan,0,-1.00805,-0.31169,-0.659773,-5.83639,-0.814025,-0.666053,nan,nan,0,-0.231828,0.520891,0.107406,-11.453,0.374086,0.401937,nan,nan,0,-0.530013,-0.209928,-0.0819875,-5.51098,-0.475007,nan,-9.15475,-7.36823,1,1.06186,0.019933,1.85775,8.23596,0.530932,nan,12.5433,11.7678,1,-0.909371,-0.398553,-0.046031,-5.25031,-0.854686,-0.714476,nan,nan,0,0.050604,-0.0520606,-0.101268,-3.5409,-0.024698,-0.178899,nan,nan,0,0.13567,0.298843,-0.383589,-1.53846,0.377835,0.254062,nan,nan,0,0.744393,0.530094,0.365176,-0.463982,0.862196,0.694379,nan,nan,0,-0.088836,-0.209857,-0.045845,0.116724,-0.254418,nan,-1.49087,0.00212902,1,0.0557509,0.034169,1.13664,0.904379,0.0278754,nan,-1.89377,0.361426,1,0,0.966593,0.022303,-0.005263,0.255286,0.0578589,-0.0203449,0.0120814,-0.232874,0.645569,8.35331
1787645122036508365,0.841979,0.53951,0.376637,0.045663,0.4,-0,-0.0379284,0.0409826,-0.0219069,0.51652,0.0419515,-0.0479977,0.123861,0.144877,0.400855,0.00920582,-2.02686,0.472439,0.343486,nan,nan,0,-2.41548,0.0296254,-0.64136,-26.0073,-1.15774,-0.878613,nan,nan,0,-0.966504,-0.32147,-0.942094,-9.30403,-0.793252,-0.75558,nan,nan,0,-0.225413,0.522233,0.150368,-14.7253,0.377293,0.384989,nan,nan,0,-0.554976,-0.2076,0.193148,-9.28034,-0.487488,nan,-10.0858,-8.60166,1,1.12679,0.046631,2.93659,10.7672,0.563396,nan,11.0981,12.0923,1,-1.0046,-0.399704,-0.131955,-7.93651,-0.902302,-0.795944,nan,nan,0,0.224661,-0.0537863,-0.162642,-4.0293,0.0623305,-0.116206,nan,nan,0,0.220269,0.295392,-0.23629,-0.854698,0.420134,0.318348,nan,nan,0,0.792377,0.536038,0.635223,7.83883,0.886189,0.788178,nan,nan,0,-0.13596,-0.209744,0.0501804,-0.430337,-0.27798,nan,-2.46353,-0.578743,1,0.0268068,0.0467575,1.1304,0.571323,0.0134034,nan,-2.69623,-0.879861,1,0,0.966517,0.022606,-0.005355,0.255547,0.0419515,-0.0479977,0.123861,0.17419,0.386099,9.31129
1787645122046340332,0.91483,0.40384,0.380771,0.0527498,0.4,-0,-0.0379284,0.0414595,-0.0239342,0.518413,0.120973,-0.27469,0.214652,0.533245,0.401238,0.0583057,-2.61295,0.666623,0.394398,nan,nan,0,-2.52826,0.022531,-0.708872,-35.0916,-1.21413,-1.04082,nan,nan,0,-0.847864,-0.32914,-0.579986,-15.0183,-0.733932,-0.799324,nan,nan,0,-0.265747,0.524342,0.242428,-18.1929,0.357126,0.376479,nan,nan,0,-0.637936,-0.200885,0.773861,-10.9542,-0.528968,nan,-12.6437,-9.62622,1,1.14945,0.0819898,3.24403,12.4948,0.574726,nan,9.91605,11.416,1,-1.00632,-0.40143,-0.193328,-10.0366,-0.903162,-0.860267,nan,nan,0,0.350103,-0.0549364,-0.0828552,-3.88278,0.125051,-0.0273095,nan,nan,0,0.250782,0.296158,0.21174,-0.317459,0.435391,0.37716,nan,nan,0,0.834893,0.5439,0.978919,12.4786,0.907447,0.855404,nan,nan,0,-0.14583,-0.209606,0.145935,-0.468867,-0.282915,nan,-2.78472,-1.51176,1,0.0172426,0.0556077,0.897424,-0.404486,0.00862129,nan,-2.75573,-1.99073,1,0,0.966253,0.023101,-0.006252,0.25648,0.120973,-0.27469,0.214652,3.36999,-0.59585,11.803
1787645122056351687,0.965198,0.261519,0.384822,0.0596948,0.4,-0,-0.0379284,0.0418739,-0.0280813,0.519644,0.0718436,-0.274348,0.0328515,0.806725,0.402389,0.150368,-2.41758,0.803363,0.508819,nan,nan,0,-2.3255,0.0154357,-0.708872,-42.4664,-1.11275,-1.15613,nan,nan,0,-0.818635,-0.329332,0.156505,-17.3626,-0.719318,-0.787638,nan,nan,0,-0.307526,0.52741,0.291528,-17.8999,0.336237,0.368198,nan,nan,0,-0.716777,-0.194243,0.869762,-8.72065,-0.568389,nan,-14.3998,-11.1268,1,1.16044,0.107236,2.11733,13.4816,0.580221,nan,11.0136,10.5882,1,-0.890913,-0.404114,-0.309939,-10.232,-0.845457,-0.896819,nan,nan,0,0.419301,-0.0549364,0.0398932,-1.0989,0.159651,0.0590677,nan,nan,0,0.183972,0.300186,0.457238,0.463982,0.401986,0.417576,nan,nan,0,0.799778,0.556172,1.34103,14.7741,0.889889,0.89384,nan,nan,0,-0.124399,-0.209495,0.0691039,-1.13335,-0.272199,nan,-2.2983,-2.33203,1,-0.0180052,0.0601308,0.481707,-1.28513,-0.00900258,nan,-2.79656,-2.60156,1,0,0.966052,0.023837,-0.008188,0.257111,0.0718436,-0.274348,0.0328515,3.20249,-2.46672,11.2626
1787645122066274192,0.993242,0.116064,0.388792,0.0665009,0.4,-0,-0.0379284,0.041726,-0.0307102,0.519481,0.00487854,-0.153762,-0.0229002,0.838568,0.404498,0.23629,0.21978,0.819284,0.659099,nan,nan,0,-2.06122,0.00910807,-0.598398,-47.3993,-0.980609,-1.17953,nan,nan,0,-0.690111,-0.326456,0.28539,-16.337,-0.655055,-0.753377,nan,nan,0,-0.262577,0.529902,0.273115,-16.044,0.358712,0.353972,nan,nan,0,-0.679539,-0.1899,0.0699973,-7.73494,-0.549769,nan,-12.7004,-12.7587,1,1.14663,0.113702,0.212993,12.8011,0.573316,nan,13.4689,10.8357,1,-0.774858,-0.408141,-0.4511,-11.2088,-0.787429,-0.889935,nan,nan,0,0.3975,-0.0541697,0.0889931,2.17339,0.14875,0.123897,nan,nan,0,0.167111,0.30613,0.678185,1.05006,0.393555,0.425318,nan,nan,0,0.636111,0.574005,1.72768,13.0159,0.808056,0.904009,nan,nan,0,-0.09103,-0.209501,-0.120724,-1.83682,-0.255515,nan,-1.42941,-2.57079,1,-0.042446,0.0615074,-0.126043,-1.90366,-0.021223,nan,-2.29285,-2.72048,1,0,0.96605,0.024102,-0.009479,0.257053,0.00487854,-0.153762,-0.0229002,0.920102,-2.81082,11.2371
1787645122076336193,0.999572,-0.029265,0.392683,0.0731709,0.4,-0,-0.0379284,0.0410214,-0.0330615,0.519271,-0.0671956,-0.228549,0.00147562,0.914796,0.407182,0.297665,5.44566,0.857398,0.772162,nan,nan,0,-1.72216,0.0033555,-0.555436,-44.9084,-0.81108,-1.10887,nan,nan,0,-0.552415,-0.326072,-0.00920582,-14.3834,-0.586208,-0.707154,nan,nan,0,-0.223562,0.532395,0.217878,-19.7558,0.378219,0.349113,nan,nan,0,-0.68031,-0.194144,-0.750749,-10.4635,-0.550155,nan,-11.3342,-13.1093,1,1.11416,0.105863,-0.92784,12.1489,0.557081,nan,14.9283,12.3892,1,-0.631573,-0.413893,-0.592261,-9.01099,-0.715787,-0.847254,nan,nan,0,0.274971,-0.053019,0.107406,8.37607,0.0874854,0.153637,nan,nan,0,0.153322,0.3138,0.813209,0.708183,0.386661,0.412926,nan,nan,0,0.392211,0.59318,1.97932,11.746,0.686105,0.872601,nan,nan,0,-0.0783148,-0.211654,-0.330026,-1.60006,-0.249157,nan,-0.817579,-2.14973,1,-0.0395872,0.0573628,-0.633531,-2.04533,-0.0197936,nan,-1.36439,-2.43366,1,0,0.966061,0.024062,-0.010708,0.256967,-0.0671956,-0.228549,0.00147562,-1.02296,-3.02267,9.46566
