timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
1787035783582397547,0.998857,-0.0477922,0.4,-0.1,-0.000419968,0.0292228,8.03296e-05,2.21174,0.00410646,-0.000318243,0.00139989,-0.19178,0.394335,0.00306892,1.88034,0.30411,0.394125,nan,nan,0,-1.17373,0.0503349,-0.00306892,-0.0244217,-0.536867,0.0489671,nan,nan,0,-0.289525,-0.31169,0.00306892,0.463982,-0.454763,-0.312024,nan,nan,0,-0.38376,0.519932,0.00306892,-9.20635,0.29812,0.519415,nan,nan,0,-0.307024,-0.209904,2.27894e-07,-0.156895,-0.363512,nan,-5.3763,-0.0125239,1,0.762431,0.0058628,-0.00314877,-3.49872,0.381216,nan,11.2653,0.0262421,1,-0.0319424,-0.397212,0.00306892,-0.708183,-0.415971,-0.397255,nan,nan,0,-0.159102,-0.0464997,0.00306892,-1.05006,-0.129551,-0.0466932,nan,nan,0,0.163057,0.308047,-0.00920582,0.512817,0.391529,0.308242,nan,nan,0,0.539322,0.523767,0.00306892,-9.74359,0.759661,0.524316,nan,nan,0,-0.000580758,-0.209498,-1.08075e-06,-2.15514,-0.21029,nan,-0.0277312,-6.45988e-05,1,-0.0871514,-0.00790287,-0.00314846,3.52361,-0.0435757,nan,-1.06546,-0.00248195,1,0,0.44831,0.006515,0.013078,0.893758,0.00410646,-0.000318243,0.00139989,0.161556,0.134289,9.7441
1787035783590429654,0.990563,-0.137059,0.4,-0.1,-0.000419968,0.0292442,6.85738e-05,2.21175,0.00292837,0.00223765,0.0003269,-0.170193,0.394335,-0.00306892,1.48962,0.314903,0.364844,nan,nan,0,-1.49034,0.0503349,0.00306892,-0.21978,-0.695172,-0.142132,nan,nan,0,-0.559038,-0.311499,0.00306892,0.415138,-0.589519,-0.358809,nan,nan,0,-0.4806,0.519932,0.00306892,-5.49451,0.2497,0.447255,nan,nan,0,-0.3845,-0.209904,2.27894e-07,-0.000752158,-0.40225,nan,-6.73212,-1.76206,1,0.918843,0.0058628,-0.00314877,-3.68912,0.459422,nan,13.6115,3.69098,1,-0.454854,-0.397212,0.00306892,-0.561661,-0.627427,-0.403841,nan,nan,0,-0.235327,-0.0464997,0.00306892,-0.65934,-0.167664,-0.0737581,nan,nan,0,0.132646,0.308047,0.00306892,0.610504,0.376323,0.335322,nan,nan,0,0.724804,0.523767,-0.00306892,-9.98779,0.852402,0.601154,nan,nan,0,-0.0849595,-0.209498,0.00191321,-0.667736,-0.25248,nan,-1.50723,-0.0127842,1,-0.170237,-0.00790287,-0.00629454,2.71379,-0.0851185,nan,-2.30703,-0.351945,1,0,0.448305,0.006525,0.013085,0.89376,0.00292837,0.00223765,0.0003269,0.164796,0.166412,9.7467
1787035783600338286,0.974401,-0.224818,0.4,-0.1,-0.000419968,0.0292496,6.67916e-05,2.21175,-0.00174899,0.00126915,-0.00241862,-0.287551,0.394335,-0.00306892,0.170937,0.256224,0.331112,nan,nan,0,-1.91499,0.0501428,-0.0214806,-6.71551,-0.907494,-0.435509,nan,nan,0,-0.529177,-0.312074,-0.0828552,-0.903542,-0.574588,-0.461378,nan,nan,0,-0.497234,0.520507,0.0583057,-10.1832,0.241383,0.340297,nan,nan,0,-0.478062,-0.209916,0.0402874,-1.71764,-0.449031,nan,-8.42947,-4.42149,1,1.06034,0.0092069,0.503761,2.30862,0.53017,nan,14.8733,9.02992,1,-0.73,-0.397212,0.00306892,-0.415138,-0.765,-0.480559,nan,nan,0,-0.103764,-0.0464997,0.00920582,-1.14774,-0.101882,-0.120136,nan,nan,0,0.256078,0.308047,0.00306892,1.00122,0.438039,0.364855,nan,nan,0,0.941904,0.524725,0.162642,0.708183,0.960952,0.728532,nan,nan,0,-0.12344,-0.209517,0.107179,-0.43041,-0.27172,nan,-2.33787,-0.518207,1,-0.239801,-0.0114424,-0.393418,0.190559,-0.119901,nan,-2.66362,-1.14322,1,0,0.448305,0.006527,0.013087,0.89376,-0.00174899,0.00126915,-0.00241862,0.153735,0.168524,9.73884
1787035783610477414,0.95016,-0.311763,0.4,-0.1,-0.000419968,0.0292335,0.000108329,2.21172,0.00819525,0.0116448,-0.00182008,-0.346101,0.394144,-0.0214806,-1.48962,0.226949,0.295738,nan,nan,0,-2.20677,0.0489926,-0.187191,-16.5812,-1.05338,-0.704526,nan,nan,0,-0.665849,-0.314375,-0.322214,-3.93163,-0.642925,-0.544899,nan,nan,0,-0.489707,0.520507,-0.0276184,-16.7277,0.245146,0.266843,nan,nan,0,-0.490586,-0.212036,-0.190009,-3.27858,-0.455293,nan,-8.22897,-6.71936,1,1.13315,0.0243929,1.92779,6.44719,0.566574,nan,13.3737,12.6568,1,-0.855134,-0.397212,-0.00306892,-1.73382,-0.827567,-0.616644,nan,nan,0,-0.0738764,-0.0464997,-0.00306892,-2.27106,-0.0869382,-0.133446,nan,nan,0,0.255806,0.308431,0.046031,1.73382,0.437903,0.397787,nan,nan,0,0.978823,0.528368,0.469513,12.1856,0.979412,0.856048,nan,nan,0,-0.109849,-0.205509,0.17411,-0.586729,-0.264925,nan,-2.34071,-1.44347,1,-0.224627,-0.0125944,-0.76755,-0.571561,-0.112314,nan,-1.84026,-1.89966,1,0,0.448318,0.006505,0.013089,0.893754,0.00819525,0.0116448,-0.00182008,-0.082757,0.160997,9.46626
1787035783620642705,0.917978,-0.396631,0.4,-0.1,-0.000419968,0.0293682,0.000310985,2.21151,0.0298578,0.00891284,-0.0437889,-0.363962,0.393568,-0.0398932,-2.12454,0.218019,0.258076,nan,nan,0,-2.40956,0.0445819,-0.494062,-26.2515,-1.15478,-0.917907,nan,nan,0,-0.784356,-0.319744,-0.524749,-6.61783,-0.702178,-0.602259,nan,nan,0,-0.490668,0.518781,-0.217878,-23.0769,0.244666,0.23762,nan,nan,0,-0.446817,-0.2161,-0.533636,-6.68537,-0.433409,nan,-6.80533,-7.93842,1,1.17529,0.0613099,4.13612,10.461,0.587647,nan,9.58593,13.2922,1,-0.944227,-0.397787,-0.0705805,-4.51771,-0.872114,-0.743464,nan,nan,0,0.0103803,-0.0468831,-0.0276184,-2.36874,-0.0448099,-0.116144,nan,nan,0,0.276398,0.310156,0.279252,1.88034,0.448199,0.425652,nan,nan,0,0.951349,0.537381,0.991194,17.0208,0.965675,0.944845,nan,nan,0,-0.134358,-0.205598,0.0727497,-1.21226,-0.277179,nan,-2.61446,-2.12066,1,-0.227668,-0.0253671,-1.05378,-1.33401,-0.113834,nan,-1.07334,-2.00201,1,0,0.44841,0.006446,0.013194,0.893706,0.0298578,0.00891284,-0.0437889,-0.242676,0.118545,8.16938
1787035783630547868,0.879067,-0.476699,0.4,-0.1,0.0249139,0.0295749,0.000238874,2.21085,0.0260969,-0.0544026,-0.0794046,-0.351057,0.393185,-0.0276184,-4.17583,0.224472,0.230652,nan,nan,0,-2.38596,0.0392127,-0.629086,-36.4103,-1.14298,-1.06969,nan,nan,0,-0.770967,-0.322045,-0.0705805,-11.0623,-0.695483,-0.65556,nan,nan,0,-0.463136,0.517055,-0.125817,-31.6239,0.258432,0.234097,nan,nan,0,-0.410069,-0.21771,-0.176587,-10.3275,-0.415034,nan,-6.64146,-7.88915,1,1.18927,0.0992079,4.06261,14.6945,0.594636,nan,8.76893,11.5298,1,-0.975759,-0.399129,-0.181053,-6.61783,-0.88788,-0.830381,nan,nan,0,-0.00626083,-0.0472665,-0.046031,-2.12454,-0.0531304,-0.0838265,nan,nan,0,0.234728,0.314375,0.537024,1.44078,0.427364,0.441784,nan,nan,0,0.876914,0.547736,1.41468,15.7509,0.928457,0.978966,nan,nan,0,-0.147021,-0.205693,-0.0728462,-1.52459,-0.28351,nan,-2.61433,-2.44273,1,-0.198275,-0.0371575,-1.30544,-1.66759,-0.0991373,nan,0.0987682,-1.51365,1,0,0.448708,0.006529,0.013268,0.893555,0.0260969,-0.0544026,-0.0794046,0.092129,-0.96097,8.29199
1787035783640617792,0.832984,-0.553298,0.4,-0.1,0.0249139,0.0313547,-0.00192734,2.20954,0.420856,-0.381617,-0.170847,0.0938858,0.392993,-0.0337563,-4.46886,0.446943,0.220359,nan,nan,0,-2.7313,0.03231,-0.598398,-46.0806,-1.31565,-1.1452,nan,nan,0,-0.887984,-0.316101,0.850033,-17.4115,-0.753992,-0.689504,nan,nan,0,-0.454305,0.517055,0.0398932,-28.0586,0.262848,0.242947,nan,nan,0,-0.537473,-0.217063,0.142574,-8.37525,-0.478736,nan,-9.37242,-7.44032,1,1.18773,0.134091,2.51584,13.5279,0.593864,nan,10.0194,9.84241,1,-0.840031,-0.402772,-0.395864,-7.59463,-0.820016,-0.87711,nan,nan,0,0.0739075,-0.047842,-0.0398932,-1.92918,-0.0130462,-0.0593143,nan,nan,0,0.304785,0.322045,0.733422,1.39194,0.462393,0.442179,nan,nan,0,0.672275,0.567677,1.99159,16.7766,0.826137,0.968361,nan,nan,0,-0.112934,-0.207871,-0.341532,-1.2498,-0.266467,nan,-1.53858,-2.51468,1,-0.194501,-0.0517324,-1.60825,-1.26196,-0.0972503,nan,1.04684,-0.585033,1,0,0.449272,0.007905,0.013572,0.893256,0.420856,-0.381617,-0.170847,3.2562,1.28048,14.9872
1787035783650610419,0.779191,-0.626787,0.4,-0.1,0.0249139,0.037115,-0.00636211,2.20643,0.46605,-0.137532,-0.366997,-0.116323,0.392225,-0.0767183,-3.49207,0.341839,0.29203,nan,nan,0,-2.57716,0.0269408,-0.426551,-48.7668,-1.23858,-1.21849,nan,nan,0,-0.973042,-0.303637,1.12622,-17.5092,-0.796521,-0.719855,nan,nan,0,-0.379806,0.517247,-0.0214806,-25.8608,0.300097,0.254268,nan,nan,0,-0.51329,-0.21458,0.0282731,-6.58261,-0.466645,nan,-8.86468,-7.91119,1,1.15287,0.146416,0.760193,12.0131,0.576433,nan,11.7602,9.62959,1,-0.696537,-0.408908,-0.610673,-8.27839,-0.748268,-0.871551,nan,nan,0,0.113752,-0.047842,-0.00306892,-0.903542,0.00687624,-0.0372056,nan,nan,0,0.287018,0.330674,0.807072,0.854698,0.453509,0.44634,nan,nan,0,0.529728,0.592413,2.3046,17.9976,0.754864,0.912621,nan,nan,0,-0.118411,-0.214122,-0.581942,-1.40416,-0.269205,nan,-1.055,-2.12159,1,-0.194445,-0.0719136,-1.71409,-0.499609,-0.0972227,nan,1.81187,0.471764,1,0,0.450596,0.011203,0.015131,0.892529,0.46605,-0.137532,-0.366997,3.20182,-0.456983,15.2499
1787035783660612394,0.719729,-0.694255,0.4,-0.1,0.0249139,0.0392566,-0.0051128,2.20423,0.0727151,0.0366053,-0.0544802,-0.46041,0.391267,-0.11968,-1.39194,0.169795,0.351345,nan,nan,0,-2.28477,0.0229144,-0.457238,-46.4713,-1.09238,-1.25887,nan,nan,0,-0.692385,-0.297118,0.512474,-15.2625,-0.656192,-0.757606,nan,nan,0,-0.294684,0.517055,0.00306892,-26.105,0.342658,0.273479,nan,nan,0,-0.400867,-0.21457,-0.168829,-6.18862,-0.410434,nan,-6.60199,-8.53863,1,1.13955,0.143462,-0.407667,11.3979,0.569776,nan,13.4009,10.7268,1,-0.760582,-0.415619,-0.794796,-7.78999,-0.780291,-0.821486,nan,nan,0,0.166296,-0.047842,0.00920582,-0.0244217,0.0331482,-0.0133544,nan,nan,0,0.338526,0.338727,0.935957,0.170937,0.479263,0.452446,nan,nan,0,0.433874,0.61619,2.40894,5.9829,0.706937,0.833059,nan,nan,0,-0.118598,-0.218237,-0.712691,-1.63681,-0.269299,nan,-0.718129,-1.47241,1,-0.189245,-0.0836242,-1.60134,-0.0244913,-0.0946226,nan,2.07206,1.37974,1,0,0.451576,0.011146,0.016356,0.892012,0.0727151,0.0366053,-0.0544802,0.011477,-6.81576,9.39441
1787035783670714458,0.653876,-0.756601,0.4,-0.1,0.0249139,0.0358468,-0.00508958,2.20473,-0.38362,-0.230417,0.109935,-0.0896882,0.389157,-0.205604,0.268623,0.355156,0.305539,nan,nan,0,-1.53895,0.016778,-0.610673,-47.6435,-0.719476,-1.21024,nan,nan,0,-0.477143,-0.299418,-0.432689,-13.5043,-0.548571,-0.740092,nan,nan,0,-0.404053,0.517055,0.0153437,-23.6142,0.287973,0.305017,nan,nan,0,-0.425038,-0.218977,-0.42894,-7.79016,-0.422519,nan,-6.48054,-7.99999,1,1.0902,0.134569,-1.0252,11.2266,0.545102,nan,13.8538,12.3983,1,-0.751968,-0.425591,-0.942094,-6.86203,-0.775984,-0.783567,nan,nan,0,0.123163,-0.0482254,-0.0767183,3.63858,0.0115813,0.0109363,nan,nan,0,0.237668,0.34889,0.911407,0.21978,0.428834,0.46272,nan,nan,0,0.246305,0.643419,2.46418,0.366302,0.613153,0.759279,nan,nan,0,-0.149202,-0.226449,-0.793784,-1.43806,-0.284601,nan,-0.844663,-0.892844,1,-0.171548,-0.0994033,-1.29295,0.757621,-0.0857742,nan,2.3483,1.95479,1,0,0.451371,0.010362,0.014843,0.892152,-0.38362,-0.230417,0.109935,-1.20365,-3.39544,7.29533
